name,company,work_area,salary,requirements,company_type,company_size,field
高级Java开发工程师（雄安）,云南红岭云科技股份有限公司,雄安新区,2-3万/月,"['3-4年经验', '本科']",国企,150-500人,计算机软件
Java中级开发工程师（金融行业）,上海金指软件技术有限公司,上海-浦东新区,1.2-1.8万/月,"['3-4年经验', '大专']",民营公司,50-150人,互联网/电子商务
Java开发工程师（重庆）,昆明南天电脑系统有限公司,重庆,0.8-1.4万/月,"['3-4年经验', '本科']",国企,150-500人,计算机软件
Java/iOS/PHP开发工程师,重庆博海商贸有限公司,重庆,6-8千/月,"['2年经验', '大专']",民营公司,50-150人,贸易/进出口
Java软件开发工程师,上海化工宝数字科技有限公司,上海-宝山区,1.5-3万/月,"['3-4年经验', '本科']",国企,50-150人,互联网/电子商务
JAVA高级开发工程师,武汉尚高软件有限公司,武汉-江汉区,1-1.5万/月,"['5-7年经验', '大专']",民营公司,少于50人,计算机软件
JAVA开发组长,上海问世信息科技有限公司,上海-长宁区,1.5-2万/月,"['3-4年经验', '大专']",创业公司,50-150人,通信/电信运营、增值服务
JAVA开发工程师——集团总部,东方希望集团有限公司,上海,1.6-2.5万/月,"['5-7年经验', '大专']",民营公司,10000人以上,多元化业务集团公司
后端Java开发工程师,江苏海康博瑞电子有限公司,南京-鼓楼区,1-1.5万/月,"['2年经验', '本科']",国企,50-150人,电子技术/半导体/集成电路
Java高级开发工程师,深圳畅达致成技术有限公司,深圳-南山区,2.5-5万/月,"['3-4年经验', '本科']",民营公司,50-150人,通信/电信运营、增值服务
Java开发工程师（南京江北新区六合）,浙江东方基因生物制品股份有限公司,南京-六合区,1.2-1.8万/月,"['2年经验', '大专']",上市公司,1000-5000人,医疗设备/器械
Java高级开发工程师,广东东和茶叶有限责任公司,广州,1.5-2万/月,"['3-4年经验', '本科']",民营公司,150-500人,金融/投资/证券
高级java软件工程师,广州市齐明软件科技有限公司,广州-黄埔区,1.1-1.6万/月,"['3-4年经验', '本科']",民营公司,150-500人,计算机软件
Java开发工程师,上海顺胜船务咨询有限公司,上海-长宁区,0.8-1.3万/月,"['2年经验', '本科']",外资（非欧美）,少于50人,交通/运输/物流
Java开发工程师,江苏英柏思科技有限公司,南京-玄武区,1.4-2.2万/月,"['3-4年经验', '本科']",民营公司,少于50人,计算机软件
Java开发工程师,昆明领飞科技有限公司,昆明,0.8-1.5万/月,"['2年经验', '本科']",民营公司,少于50人,计算机软件
Java开发工程师,山东骏腾医疗科技有限公司,济南,1-2万/月,"['3-4年经验', '本科']",民营公司,150-500人,医疗设备/器械
高级JAVA开发工程师,福建法意科技有限公司,福州-闽侯县,1.5-2万/月,"['5-7年经验', '本科']",民营公司,50-150人,计算机软件
Java中级工程师,深圳联信软件科技有限公司,广州-越秀区,0.8-1.3万/月,"['3-4年经验', '大专']",民营公司,50-150人,计算机软件
Java开发软件工程师,巡扬智能科技（上海）有限公司,天津-滨海新区,1-1.5万/月,"['3-4年经验', '本科']",民营公司,少于50人,仪器仪表/工业自动化
Java开发工程师,成都阜特科技股份有限公司,成都,0.7-1.2万/月,"['3-4年经验', '本科']",民营公司,50-150人,新能源
高级JAVA软件工程师 （重庆）,广州智和瑞成软件有限公司,重庆-渝北区,1.3-2万/月,"['5-7年经验', '本科']",民营公司,50-150人,计算机软件
Java高级开发工程师,深圳欧米智能科技有限公司,深圳-龙岗区,1.6-2.5万/月,"['3-4年经验', '大专']",民营公司,150-500人,贸易/进出口
Java高级开发工程师,东软熙康健康科技有限公司,上海-浦东新区,1.8-2.5万/月,"['5-7年经验', '本科']",民营公司,1000-5000人,互联网/电子商务
Java高级开发工程师,上海佳依佳信息科技有限公司,上海-浦东新区,1.5-2万/月,"['3-4年经验', '本科']",民营公司,50-150人,计算机软件
Java开发工程师2,北京深思远科技有限公司,北京-朝阳区,0.9-1.3万/月,"['3-4年经验', '本科']",民营公司,,计算机软件
Java开发工程师,郑州冰苑智能科技有限公司,郑州-金水区,1.2-2.5万/月,"['5-7年经验', '本科']",民营公司,,计算机软件
Java开发工程师,广州彦诺智能科技发展有限公司,广州-番禺区,6-8千/月,"['1年经验', '大专']",民营公司,少于50人,电子技术/半导体/集成电路
Java高级开发工程师,郑州百和软件有限公司,郑州,1-2万/月,"['5-7年经验', '本科']",民营公司,50-150人,计算机软件
JAVA后端,工匠广告传播（上海）有限公司,上海-长宁区,1.3-1.6万/月,"['3-4年经验', '大专']",民营公司,50-150人,广告
Java高级开发工程师,港加贺电子（深圳）有限公司,深圳-宝安区,1.3-1.8万/月,"['3-4年经验', '大专']",外资（非欧美）,1000-5000人,电子技术/半导体/集成电路
Java高级开发工程师,重庆道软科技有限公司,重庆-江北区,1-1.5万/月,"['5-7年经验', '大专']",民营公司,少于50人,计算机软件
Java开发工程师,深圳锦弘霖科技有限公司,深圳-龙华区,1.7-2.5万/月,"['3-4年经验', '本科']",民营公司,150-500人,电子技术/半导体/集成电路
Java中级开发工程师,重庆圣特嘉科技有限公司,重庆-沙坪坝区,0.5-1万/月,"['2年经验', '大专']",民营公司,少于50人,计算机软件
初级java开发工程师（提供住宿）,郑州市讯百网络科技有限公司,郑州-金水区,5-9千/月,"['无需经验', '大专']",民营公司,少于50人,计算机软件
Java开发工程师,广州东瑞科技有限公司,广州,1-1.5万/月,"['3-4年经验', '大专']",民营公司,少于50人,计算机软件
Java开发工程师,初曦会（杭州）网络科技有限公司,杭州-拱墅区,1.5-2万/月,"['3-4年经验', '大专']",合资,,计算机软件
Java开发工程师,上海至杰物联科技有限公司,上海-浦东新区,0.8-1.8万/月,"['2年经验', '大专']",民营公司,少于50人,计算机软件
Java开发工程师,天津信时通科技有限公司,天津-滨海新区,5-7千/月,"['1年经验', '大专']",民营公司,少于50人,计算机服务(系统、数据服务、维修)
Java开发工程师,上海澄码信息科技有限公司,上海-浦东新区,1-1.6万/月,"['2年经验', '本科']",民营公司,50-150人,计算机服务(系统、数据服务、维修)
Java开发工程师,安徽星科联信息技术有限公司,合肥-高新区,4-8千/月,['2年经验'],民营公司,少于50人,计算机软件
JAVA主管,杭州恒有软件有限公司武汉分公司,武汉-洪山区,1-1.5万/月,"['5-7年经验', '大专']",民营公司,少于50人,互联网/电子商务
Java全栈开发工程师,广州华工邦元信息技术有限公司,广州,1-1.5万/月,"['2年经验', '本科']",民营公司,50-150人,计算机软件
高级Java研发工程师,浦赢建和（上海）资产管理有限公司,上海-浦东新区,2-4万/月,"['3-4年经验', '本科']",外资（非欧美）,500-1000人,金融/投资/证券
Java开发工程师,无锡云鹊科技有限公司,无锡-无锡新区,0.8-1.5万/月,"['3-4年经验', '本科']",民营公司,少于50人,计算机软件
Java开发工程师,兰州乐智教育科技有限责任公司,兰州,0.8-1万/月,"['2年经验', '本科']",国企,150-500人,计算机软件
Java开发工程师,浙江金枫谷数据服务有限公司,金华,1-1.5万/月,"['3-4年经验', '本科']",合资,50-150人,电子技术/半导体/集成电路
Java高级开发工程师,苏州飞顺软件科技有限公司,苏州-工业园区,0.8-2万/月,"['3-4年经验', '本科']",民营公司,少于50人,计算机软件
Java高级工程师,上海创程车联网络科技有限公司,苏州,15-20万/年,"['3-4年经验', '本科']",国企,50-150人,计算机软件
JAVA开发高级工程师,深圳市佑尔安科技有限公司,深圳-宝安区,1.5-2万/月,"['5-7年经验', '本科']",民营公司,少于50人,计算机软件
Java开发工程师（bst）,航天宏图信息技术股份有限公司,北京-海淀区,1.5-2.5万/月,"['3-4年经验', '本科']",上市公司,1000-5000人,计算机软件
Java初级开发工程师,南京伊之腾信息科技有限公司,南京-秦淮区,0.5-1万/月,"['1年经验', '大专']",民营公司,50-150人,计算机软件
002Java开发工程师,杭州格原信息技术有限公司,杭州,4.5-6千/月,"['2年经验', '本科']",民营公司,,互联网/电子商务
高级Java开发工程师,中关村空间信息产业技术联盟,北京,2.5-4万/月,"['5-7年经验', '本科']",民营公司,,计算机软件
高级JAVA软件工程师（深圳）,深圳怡化电脑股份有限公司,深圳,1.8-3万/月,"['3-4年经验', '大专']",民营公司,,计算机软件
Java开发工程师,深圳华智融科技股份有限公司,深圳,1.1-2万/月,"['3-4年经验', '本科']",民营公司,,通信/电信/网络设备
Java开发工程师,皓量科技（深圳）有限公司,深圳,1.5-2万/月,"['3-4年经验', '大专']",民营公司,,互联网/电子商务
JAVA开发工程师,深圳市创新源供应链集成有限公司,深圳,1-2万/月,"['3-4年经验', '本科']",民营公司,,计算机服务(系统、数据服务、维修)
JAVA开发工程师（青岛）,深圳高新兴神盾信息技术有限公司,青岛,1-2万/月,"['3-4年经验', '大专']",民营公司,,计算机软件
JAVA后端开发工程师,深圳市中达瑞和科技有限公司,深圳,1.5-3万/月,"['3-4年经验', '本科']",民营公司,,电子技术/半导体/集成电路
Java开发工程师,深圳市东晟数据有限公司,深圳,1.5-2万/月,"['2年经验', '大专']",民营公司,,通信/电信/网络设备
java后端工程师,深圳沈鼓测控技术有限公司,深圳,1.4-1.8万/月,"['2年经验', '本科']",民营公司,,计算机软件
Java开发工程师,深圳壹零后信息技术有限公司,深圳,1.5-2.5万/月,"['3-4年经验', '本科']",民营公司,,计算机软件
JAVA软件开发工程师,深圳新美装饰建设集团有限公司,深圳,1-1.5万/月,"['1年经验', '本科']",民营公司,,建筑/建材/工程
Java开发工程师,深圳市北辰德科技股份有限公司,南昌,1-2万/月,"['1年经验', '本科']",民营公司,,计算机软件
java中级开发,深圳点筹农业供应链有限公司,深圳,1.5-2万/月,"['3-4年经验', '本科']",民营公司,,互联网/电子商务
java,深圳市先锋居善科技有限公司,深圳,1-1.5万/月,"['1年经验', '本科']",民营公司,,房地产
Java开发工程师,深圳高新区信息网有限公司,深圳,1-1.5万/月,"['1年经验', '本科']",民营公司,,通信/电信/网络设备
Java后端开发工程师,昇腾技术（深圳）有限公司,深圳,1.5-2万/月,"['1年经验', '本科']",外资（非欧美）,,仪器仪表/工业自动化
